nom_station,num_station,hauteur,debit
MARNAY_SUR_MARNE,H501102001,H,Q
CHAUMONT,H503101001,H,Q
CONDES,H503102001,H,Q
MUSSEY,H507105001,H,Q
JOINVILLE,H507102001,H,
CHAMOUILLEY,H507104001,H,Q
SAINT-DIZIER,H507101002,H,Q
DAILLANCOURT,H508307001,H,Q
PONT-VARIN,H508305001,H,Q
HUMBERVILLE,H505321001,H,Q
LOUVIERES,H502301001,H,Q
GONCOURT,B022001001,H,Q
SOMMERECOURT,B105201001,H,Q
BOURDON,H504201001,H,Q
SAUCOURT,H506201001,H,Q
VILLIERS_SUR_SUIZE,H503331001,H,Q
SAINT-LOUP-SUR-AUJON,H110200901,H,Q
MARANVILLE,H112202001,H,Q
AUBERIVE,H100101001,H,Q
GERVILLIERS,H130201001,H,Q
MAIZIERES-SUR-AMANCE,U020400101,H,Q
BOURBONNE-LES-BAINS,U004500401,H,Q
